#
# This file contains a list of rules for associating accounts and more
# useful descriptions with downloaded check/credit card statements.  
# Rule lines have four comma-separated fields:
#
#   col1:   wild card expression (filename style, best to quote)
#   col2:   associated account name (a single token)
#   col3:   new description (quote if it contains blanks or special characters)
#   col4:   processing verb
#       AGGREGATE   accumulate all of these into a per account/descr subtotal
#       PRESERVE    retain the original description
#       REPLACE     replace statement description with this description
#       COMBINE     use this description followed by the original description
*		    (and return tentative)
#
"SAN*BER*TAX*",         Basic, "SBDO Prop Taxes", REPLACE
"ABM PARKING*", Transportation, "parking", AGGREGATE
"LA CITY PARKING METER*", Transportation, "parking", AGGREGATE

"UNIONSTATIONFLYAWAY*", Vacations, "shuttle", AGGREGATE

"BELLA VISTA INN*", "Commuting", "lodging", AGGREGATE
"SOUTHWES*", "Commuting", "air fare", COMBINE

"concert", Food-and-Fun, "concert", AGGREGATE
"movies", Food-and-Fun, "movies", AGGREGATE
"AMC MERCADO*", Food-and-Fun, "movies", AGGREGATE
"PACIFIC THEATRES*", Food-and-Fun, "movies", AGGREGATE

"lunch, Food-and-Fun, "dinner", AGGREGATE
"COMMONWEALTH*", Food-and-Fun, "dinner", AGGREGATE
"TONYS ON THE PIER*", Food-and-Fun, "dinner", AGGREGATE
"REAL FOOD DAILY*", Food-and-Fun, "dinner", AGGREGATE
"MIMIS CAFE*", Food-and-Fun, "dinner", AGGREGATE
"ISLANDS REST*", Food-and-Fun, "dinner", AGGREGATE
"MORRISON*", Food-and-Fun, "dinner", AGGREGATE
"VIVA MADRID*", Food-and-Fun, "dinner", AGGREGATE
"EL ARCO IRIS REST*", Food-and-Fun, "dinner", AGGREGATE
"THE BRIT*", Food-and-Fun, "dinner", AGGREGATE
"ELEPHANT BAR *", Food-and-Fun, "dinner", AGGREGATE
"OOMASA INC*", Food-and-Fun, "dinner", AGGREGATE
"TERRANEA RESORT", Food-and-Fun, "dinner", AGGREGATE
"SONNYS HIDEAWAY*", Food-and-Fun, "dinner", AGGREGATE

"lunch", Food-and-Fun, "lunch", AGGREGATE
"PEDRO'S RESTAURANT*", Food-and-Fun, "lunch", AGGREGATE
"TOMATINA*", Food-and-Fun, "lunch", AGGREGATE
"SUBWAY *", Food-and-Fun, "lunch", AGGREGATE
"CHILI'S*", Food-and-Fun, "lunch", AGGREGATE
"LAKESIDE CAFE*", Food-and-Fun, "lunch", AGGREGATE
"ATHENA GRILL*", Food-and-Fun, "lunch", AGGREGATE
"MCDONALD'S*", Food-and-Fun, "lunch", AGGREGATE
"TACO BELL*", Food-and-Fun, "lunch", AGGREGATE
"CARLS JR*", Food-and-Fun, "lunch", AGGREGATE
"DENNY'S INC*", Food-and-Fun, "lunch", AGGREGATE
"SPECIALTY*S CAFE*", Food-and-Fun, "lunch", AGGREGATE
"SWEET TOMATOES *", Food-and-Fun, "lunch", AGGREGATE
"PSYCHO DONUTS*", Food-and-Fun, "lunch", AGGREGATE
"THE CHEESE STEAK SHOP*", Food-and-Fun, "lunch", AGGREGATE
"TASTY SUBS *", Food-and-Fun, "lunch", AGGREGATE
"ST JOHNS BAR & GRILL*", Food-and-Fun, "lunch", AGGREGATE
"SMOKING PIG*", Food-and-Fun, "lunch", AGGREGATE
"AY CARAMBA*", Food-and-Fun, "lunch", AGGREGATE
"RED ROBIN *", Food-and-Fun, "lunch", AGGREGATE
"QDOBA *", Food-and-Fun, "lunch", AGGREGATE
"IN-N-OUT BURGER *", Food-and-Fun, "lunch", AGGREGATE
"RUBY*S DINETTE*", Food-and-Fun, "lunch", AGGREGATE
"YAN CAN *", Food-and-Fun, "lunch", AGGREGATE
"THE GREYHOUND*", Food-and-Fun, "lunch", AGGREGATE
"Zankou Chicken*", Food-and-Fun, "lunch", AGGREGATE

"groceries", Groceries, "", AGGREGATE
"*SUPERIOR*GROCER*", Groceries, "", AGGREGATE
"FOOD4LESS*", Groceries, "", AGGREGATE
"LUCKY *", Groceries, "", AGGREGATE
"VONS *", Groceries, "", AGGREGATE
"RALPHS *", Groceries, "", AGGREGATE
"SUPER KING MARKET *", "", Groceries, AGGREGATE
"WHOLEFDS*", Groceries, "", AGGREGATE
"SMARTNFINAL*", Groceries, "", AGGREGATE
"TRADER JOE'S*", Groceries, "", AGGREGATE
"COSTCO WHSE*", Groceries, "", AGGREGATE
"FRESH & EASY*", Groceries, "", AGGREGATE
"SPROUTS FARMERS MAR*", "", Groceries, AGGREGATE
"PETCO*", Groceries, "dog food", AGGREGATE
"BEVERAGES & MORE*", Groceries, "alcohol", AGGREGATE

"Online Payment * To Genworth Life*", Medical, "LTC insurance", REPLACE
"CONEXIS*", Medical, "FSA reimb", REPLACE
"RICHARD E. HEYES DDS*", Medical, "DD - Heyes", REPLACE

"NCSU STUDENT HEALTH", Medical, "CK ov", REPLACE
"SQ *ASPIRE COUNSELING GRO*", Medical, "CK ov", REPLACE
"JOHN LAWRENCE GARWOOD *", Medical, "MK OD", REPLACE
"KP RX*", Medical, "Prescriptions", COMBINE

"BLUE SHIELD OF CA*", Medical, "JK ins", REPLACE
"FSI*HCSC PREMIUM PMT*", Medical, "JK ins", REPLACE
"USC CARE MEDICAL GROUP*", Medical, "JK ov USC", REPLACE
"HUNTINGTON DERMATOLOGY*", Medical, "JK ov Huntington", REPLACE
"B S MAIN OFFICE*", Medical, "JK billed", REPLACE
"*JACKLIN POLADIAN MD*", Medical, "JK ov Poladian", REPLACE
"*ELEANOR LEUNG MD*", Medical, "JK ov Leung", REPLACE
"LENS.COM*", Medical, "JK contacts", REPLACE

"ANIMAL SPECIALTY GROUP*", Medical, "vet (animal specialty)", REPLACE
"LA VILLAGE VET*", Medical, "vet (village)", REPLACE

"SPORT CHALET* DIRECT DEP*", Hobbies, "MK SCUBA pay", REPLACE
"Onine Payment * To Divers Alert Network*", Hobbies, "DAN mshp/ins", REPLACE
"VICENCIA AND BUCKLEY*", Hobbies, "liability ins", REPLACE

"LK clothing", Clothing, "LK clothing", AGGREGATE
"SUPERCUTS*", Clothing, "MK h/c", REPLACE
"CALIFORNIA CUTE CUTS*", Clothing, "LK h/c", REPLACE
"*DOCKERS STORE ONLINE*", Clothing, "MK clothing", AGGREGATE

"ACM", Misc, "MK ACM dues", REPLACE
"*ANGIES LIST*", Misc, "subscription: Angie", REPLACE
"INTL SOC ARBORICULTURE", Misc, "LK ISA dues", REPLACE
"NATURAL HISTORY MUSEUM*", Misc, "Nat Hist mship", REPLACE
"HUNTINGTON *", Misc, "Huntington mship", REPLACE
"USPS*", "Misc", postage, REPLACE

"HARBOR FREIGHT TOOLS*", Toys, "Harbor Freight", REPLACE
"THINKGEEK*", "Toys", ThinkGeek, REPLACE
"SPARKFUN ELECTRONICS*", Toys, "SparkFun", REPLACE

"DAN SERVICES*", Hobbies, "DAN mshp/ins", REPLACE
"AQUA LUNG*", Hobbies, None, PRESERVE
"CYCLE GEAR *", Hobbies, None, PRESERVE

"gift", Gifts, "", AGGREGATE

"donation", Donations, "", PRESERVE

"cash", Cash, "", AGGREGATE
"WITHDRAW*", Cash, "", AGGREGATE
"ATM WITHDRAWAL*", Cash, "", AGGREGATE
"NON-CHASE ATM WITHDRAW*", Cash, "", AGGREGATE
"NON-CHASE ATM FEE-WITH*", Misc, "fee", AGGREGATE
"THEODORE PAYNE F PAYROLL*", Deposit, "LK pay", REPLACE
"FUTUREWEI TECHNO PAYROLL*", Deposit, "MK pay", REPLACE
"FUTUREWEI TECHNO PAYMENT*", Deposit, "Huawei reimb", REPLACE
"HUAWEI TECH. INV PAYMENT*", Deposit, "Huawei reimb", REPLACE
"AMERICAN EXPRESS ACH PMT*", CreditCard, "Amex autopay", REPLACE
"*PPD ID: CITICARDAP*", CreditCard, "Citi autopay", REPLACE
"AUTOMATIC PAYMENT - THANK*", CreditCard, "autopay", REPLACE
"AUTOPAY PAYMENT - THANK YOU*", CreditCard, "autopay", REPLACE
"CHASE*AUTOPAY *", CreditCard, "Chase autopay", REPLACE
"FID BKG SVC LLC*", "Transfer", "(FIDO)", REPLACE
"LENDING CLUB*", "Transfer", "(Lending Club)", REPLACE
"BANK OF AMERICA*FndTrnsfr*", "Transfer", "(BofA)", REPLACE

"IRS*USATAXPYMT*", "Taxes", "IRS", REPLACE
"FRANCHISE TAX BO PAYMENTS*", "Taxes", "CA", REPLACE

# These are catch-all heuristics, likely to work ... but check
"* GAS STATION *", Transportation, "gas", COMBINE
"* GAS STATION", Transportation, "gas", COMBINE

"* SUPERMARKET *", Groceries, None, PRESERVE
"* SUPERMARKET", Groceries, None, PRESERVE
"* MARKET *", Groceries, None, PRESERVE
"* MARKET", Groceries, None, PRESERVE
"* MARKETS", Groceries, None, PRESERVE
"* GROCERY *", Groceries, None, PRESERVE

"TACOS *", Food-and-Fun, "lunch", COMBINE
"CASA *", Food-and-Fun, "lunch", COMBINE
"* TACO *", Food-and-Fun, "lunch", COMBINE
"* TACO", Food-and-Fun, "lunch", COMBINE
"* TACOS *", Food-and-Fun, "lunch", COMBINE
"* TACOS", Food-and-Fun, "lunch", COMBINE
"* BURRITO *", Food-and-Fun, "lunch", COMBINE
"* BURRITO", Food-and-Fun, "lunch", COMBINE
"* BURRITOS *", Food-and-Fun, "lunch", COMBINE
"* BURRITOS", Food-and-Fun, "lunch", COMBINE
"*BURGER *", Food-and-Fun, "lunch", COMBINE
"*BURGER", Food-and-Fun, "lunch", COMBINE

"* RESTAURANT *", Food-and-Fun, "dinner", COMBINE
"* RESTAURANT", Food-and-Fun, "dinner", COMBINE
"* RISTORANTE", Food-and-Fun, "dinner", COMBINE
"* BAR *", Food-and-Fun, "dinner", COMBINE
"* BAR", Food-and-Fun, "dinner", COMBINE
"* BBQ *", Food-and-Fun, "dinner", COMBINE
"* BBQ", Food-and-Fun, "dinner", COMBINE
"* GRILL *", Food-and-Fun, "dinner", COMBINE
"* GRILL", Food-and-Fun, "dinner", COMBINE
"* LOUNGE *", Food-and-Fun, "dinner", COMBINE
"* LOUNGE", Food-and-Fun, "dinner", COMBINE
"* TAVERN *", Food-and-Fun, "dinner", COMBINE
"* TAVERN", Food-and-Fun, "dinner", COMBINE
"* DINING *", Food-and-Fun, "dinner", COMBINE
"* DINING", Food-and-Fun, "dinner", COMBINE
"* DINER *", Food-and-Fun, "dinner", COMBINE
"* DINER", Food-and-Fun, "dinner", COMBINE
"* ROADHOUSE *", Food-and-Fun, "dinner", COMBINE
"* ROADHOUSE", Food-and-Fun, "dinner", COMBINE

"* RESORT", Vacations, "resort:", COMBINE
"* RESORT *", Vacations, "resort:", COMBINE

# These are clearly medical, but I am not sure what they actually are
"KAISER *", Medical, "Kaiser:", COMBINE
"Online Payment * To Kaiser *", Medical, "Kaiser:", COMBINE
"QDI*QUEST DIAGNOSTICS*", Medical, "Lab:", COMBINE
"CVS/PHARMACY*", Medical, "CVS:", COMBINE
"RITE AID *", Medical, "Rite-Aid:", COMBINE
"WALGREENS *", Medical, "Walgreens::", COMBINE
"* MD", Medical, "???", Combine
"* MD *", Medical, "???", Combine
"* MD, *", Medical, "???", Combine

# These are initial guesses based on what we usually buy from these vendors
"SPORT CHALE*", "Hobbies", None, PRESERVE
"BIG 5 SPORTING GOODS*", Clothing, None, PRESERVE
"REI *", Clothing, None, PRESERVE
"TARGET.COM*", Clothing, None, PRESERVE
"TARGET *", Clothing, None, PRESERVE
"SUR LA TABLE *", Household, None, PRESERVE
"POTTERY BARN*", Household, None, PRESERVE
"THEODORE PAYNE FOUNDAT*", Household, "nursery", REPLACE
"MICHAELS*", Toys, None, PRESERVE
"DELTA AIR*", "Vacations", None, PRESERVE

# These are not really matching rules.  Just add accounts to menu
"IT WILL NEVER HAPPEN", Large-Expenses, "", PRESERVE
"IT WILL NEVER HAPPEN", Project, "", PRESERVE
